X,Z
000,000
001,100
002,101
003,101
004,102
005,102
006,103
007,103
008,104
009,104
00A,105
00B,105
00C,105
00D,106
00E,106
00F,107
010,107
011,108
012,108
013,109
014,109
015,109
016,10A
017,10A
018,10B
019,10B
01A,10C
01B,10C
01C,10C
01D,10D
01E,10D
01F,10E
020,10E
021,10E
022,10F
023,10F
024,110
025,110
026,110
027,111
028,111
029,112
02A,112
02B,112
02C,113
02D,113
02E,114
02F,114
030,114
031,115
032,115
033,115
034,116
035,116
036,117
037,117
038,117
039,118
03A,118
03B,118
03C,119
03D,119
03E,119
03F,11A
040,11A
041,11B
042,11C
043,11C
044,11D
045,11E
046,11E
047,11F
048,120
049,120
04A,121
04B,122
04C,122
04D,123
04E,124
04F,124
050,125
051,126
052,126
053,127
054,128
055,128
056,129
057,129
058,12A
059,12B
05A,12B
05B,12C
05C,12C
05D,12D
05E,12D
05F,12E
060,12F
061,12F
062,130
063,130
064,131
065,131
066,132
067,133
068,133
069,134
06A,134
06B,135
06C,135
06D,136
06E,136
06F,137
070,138
071,138
072,139
073,139
074,13A
075,13A
076,13B
077,13B
078,13C
079,13C
07A,13D
07B,13D
07C,13E
07D,13E
07E,13F
07F,13F
080,140
081,140
082,141
083,141
084,142
085,142
086,143
087,143
088,144
089,144
08A,145
08B,145
08C,145
08D,146
08E,146
08F,147
090,147
091,148
092,148
093,149
094,149
095,149
096,14A
097,14A
098,14B
099,14B
09A,14C
09B,14C
09C,14C
09D,14D
09E,14D
09F,14E
0A0,14E
0A1,14E
0A2,14F
0A3,14F
0A4,150
0A5,150
0A6,150
0A7,151
0A8,151
0A9,152
0AA,152
0AB,152
0AC,153
0AD,153
0AE,154
0AF,154
0B0,154
0B1,155
0B2,155
0B3,155
0B4,156
0B5,156
0B6,157
0B7,157
0B8,157
0B9,158
0BA,158
0BB,158
0BC,159
0BD,159
0BE,159
0BF,15A
0C0,15A
0C1,15B
0C2,15C
0C3,15C
0C4,15D
0C5,15E
0C6,15E
0C7,15F
0C8,160
0C9,160
0CA,161
0CB,162
0CC,162
0CD,163
0CE,164
0CF,164
0D0,165
0D1,166
0D2,166
0D3,167
0D4,168
0D5,168
0D6,169
0D7,169
0D8,16A
0D9,16B
0DA,16B
0DB,16C
0DC,16C
0DD,16D
0DE,16D
0DF,16E
0E0,16F
0E1,16F
0E2,170
0E3,170
0E4,171
0E5,171
0E6,172
0E7,173
0E8,173
0E9,174
0EA,174
0EB,175
0EC,175
0ED,176
0EE,176
0EF,177
0F0,178
0F1,178
0F2,179
0F3,179
0F4,17A
0F5,17A
0F6,17B
0F7,17B
0F8,17C
0F9,17C
0FA,17D
0FB,17D
0FC,17E
0FD,17E
0FE,17F
0FF,17F
100,180
101,180
102,181
103,181
104,182
105,182
106,183
107,183
108,184
109,184
10A,185
10B,185
10C,185
10D,186
10E,186
10F,187
110,187
111,188
112,188
113,189
114,189
115,189
116,18A
117,18A
118,18B
119,18B
11A,18C
11B,18C
11C,18C
11D,18D
11E,18D
11F,18E
120,18E
121,18E
122,18F
123,18F
124,190
125,190
126,190
127,191
128,191
129,192
12A,192
12B,192
12C,193
12D,193
12E,194
12F,194
130,194
131,195
132,195
133,195
134,196
135,196
136,197
137,197
138,197
139,198
13A,198
13B,198
13C,199
13D,199
13E,199
13F,19A
140,19A
141,19B
142,19C
143,19C
144,19D
145,19E
146,19E
147,19F
148,1A0
149,1A0
14A,1A1
14B,1A2
14C,1A2
14D,1A3
14E,1A4
14F,1A4
150,1A5
151,1A6
152,1A6
153,1A7
154,1A8
155,1A8
156,1A9
157,1A9
158,1AA
159,1AB
15A,1AB
15B,1AC
15C,1AC
15D,1AD
15E,1AD
15F,1AE
160,1AF
161,1AF
162,1B0
163,1B0
164,1B1
165,1B1
166,1B2
167,1B3
168,1B3
169,1B4
16A,1B4
16B,1B5
16C,1B5
16D,1B6
16E,1B6
16F,1B7
170,1B8
171,1B8
172,1B9
173,1B9
174,1BA
175,1BA
176,1BB
177,1BB
178,1BC
179,1BC
17A,1BD
17B,1BD
17C,1BE
17D,1BE
17E,1BF
17F,1BF
180,1C0
181,1C0
182,1C1
183,1C1
184,1C2
185,1C2
186,1C3
187,1C3
188,1C4
189,1C4
18A,1C5
18B,1C5
18C,1C5
18D,1C6
18E,1C6
18F,1C7
190,1C7
191,1C8
192,1C8
193,1C9
194,1C9
195,1C9
196,1CA
197,1CA
198,1CB
199,1CB
19A,1CC
19B,1CC
19C,1CC
19D,1CD
19E,1CD
19F,1CE
1A0,1CE
1A1,1CE
1A2,1CF
1A3,1CF
1A4,1D0
1A5,1D0
1A6,1D0
1A7,1D1
1A8,1D1
